ID,BLOCK,X,Y
50514,462501268793,-0.3418213,39.4780622
50514,462501268793,-0.3423021,39.4782008
50514,462501268793,-0.3427476,39.4772724
50514,462501268793,-0.3422686,39.4771278
50514,462501268793,-0.3417944,39.4769883
50514,462501268793,-0.3417334,39.4769703
50514,462501268793,-0.3412482,39.4768276
50514,462501268793,-0.3410353,39.4772725
50514,462501268793,-0.3410117,39.4773219
50514,462501268793,-0.3407984,39.4777678
50514,462501268793,-0.3412836,39.4779075
50514,462501268793,-0.3413465,39.4779256
50514,462501268793,-0.3418213,39.4780622
51235,462501269514,-0.3452135,39.4794718
51235,462501269514,-0.3453355,39.4792176
51235,462501269514,-0.3443999,39.4789483
51235,462501269514,-0.3442766,39.4792023
51235,462501269514,-0.3452135,39.4794718
51236,462501269515,-0.3444613,39.4788214
51236,462501269515,-0.3453972,39.4790905
51236,462501269515,-0.3458295,39.4781855
51236,462501269515,-0.3448972,39.4779114
51236,462501269515,-0.3444613,39.4788214
51240,462501269519,-0.3425893,39.4787152
51240,462501269519,-0.342592,39.4787159
51240,462501269519,-0.3427515,39.4787618
51240,462501269519,-0.3428729,39.4787968
51240,462501269519,-0.3430295,39.4788419
51240,462501269519,-0.3431529,39.4788774
51240,462501269519,-0.3433101,39.4789226
51240,462501269519,-0.3434343,39.4789584
51240,462501269519,-0.3435915,39.4790036
51240,462501269519,-0.3437126,39.4790384
51240,462501269519,-0.343872,39.4790843
51240,462501269519,-0.3438726,39.4790845
51240,462501269519,-0.3439952,39.4791195
51240,462501269519,-0.3440128,39.4790829
51240,462501269519,-0.344094,39.4789132
51240,462501269519,-0.3441164,39.4788663
51240,462501269519,-0.3425911,39.4784273
51240,462501269519,-0.3425693,39.4784727
51240,462501269519,-0.342487,39.4786438
51240,462501269519,-0.3424693,39.4786809
51240,462501269519,-0.3425893,39.4787152
51241,462501269520,-0.3407344,39.4781817
51241,462501269520,-0.3407381,39.4781828
51241,462501269520,-0.3408922,39.4782271
51241,462501269520,-0.3410157,39.4782626
51241,462501269520,-0.3411675,39.4783061
51241,462501269520,-0.3412918,39.4783419
51241,462501269520,-0.3414466,39.4783864
51241,462501269520,-0.3415665,39.4784208
51241,462501269520,-0.3417243,39.4784661
51241,462501269520,-0.3418457,39.478501
51241,462501269520,-0.3419996,39.4785452
51241,462501269520,-0.3420008,39.4785455
51241,462501269520,-0.3421209,39.4785801
51241,462501269520,-0.3421385,39.4785436
51241,462501269520,-0.3422212,39.4783703
51241,462501269520,-0.3422419,39.478327
51241,462501269520,-0.340738,39.4778944
51241,462501269520,-0.3407166,39.4779393
51241,462501269520,-0.3406341,39.4781111
51241,462501269520,-0.3406166,39.4781477
51241,462501269520,-0.3407344,39.4781817
51242,462501269521,-0.3444747,39.4781103
51242,462501269521,-0.3445543,39.4779467
51242,462501269521,-0.344574,39.4779063
51242,462501269521,-0.3446137,39.4778253
51242,462501269521,-0.3430912,39.47738
51242,462501269521,-0.3430509,39.4774628
51242,462501269521,-0.3430312,39.4775033
51242,462501269521,-0.3429524,39.4776651
51242,462501269521,-0.3427878,39.4780152
51242,462501269521,-0.34271,39.4781781
51242,462501269521,-0.3426909,39.478218
51242,462501269521,-0.3426512,39.4783009
51242,462501269521,-0.3441767,39.4787394
51242,462501269521,-0.3442155,39.4786583
51242,462501269521,-0.3442366,39.4786143
51242,462501269521,-0.3443134,39.478454
51242,462501269521,-0.3444747,39.4781103
52888,462501271167,-0.3367042,39.481896
52888,462501271167,-0.3367796,39.4819601
52888,462501271167,-0.3367967,39.482014
52888,462501271167,-0.3368484,39.4821425
52888,462501271167,-0.3368463,39.4821666
52888,462501271167,-0.3369903,39.4822085
52888,462501271167,-0.3375243,39.4823637
52888,462501271167,-0.3374944,39.4824073
52888,462501271167,-0.3374658,39.4824628
52888,462501271167,-0.3375297,39.4824875
52888,462501271167,-0.3375534,39.4824967
52888,462501271167,-0.3376029,39.4825134
52888,462501271167,-0.3377578,39.4825743
52888,462501271167,-0.3377984,39.4825903
52888,462501271167,-0.3375323,39.4828208
52888,462501271167,-0.3377921,39.4829436
52888,462501271167,-0.3377921,39.4829436
52888,462501271167,-0.3375853,39.4833752
52888,462501271167,-0.3374918,39.4835704
52888,462501271167,-0.3373301,39.483908
52888,462501271167,-0.3373772,39.4839051
52888,462501271167,-0.337471,39.4838992
52888,462501271167,-0.3375624,39.4838921
52888,462501271167,-0.3376974,39.4838817
52888,462501271167,-0.337927,39.483864
52888,462501271167,-0.3379723,39.4838605
52888,462501271167,-0.3380119,39.4838574
52888,462501271167,-0.3380254,39.483856
52888,462501271167,-0.3380793,39.4838502
52888,462501271167,-0.3382299,39.4838342
52888,462501271167,-0.3383366,39.4838228
52888,462501271167,-0.3383751,39.4838184
52888,462501271167,-0.3384347,39.4838114
52888,462501271167,-0.3386918,39.4837781
52888,462501271167,-0.3389575,39.4837453
52888,462501271167,-0.3389584,39.4837452
52888,462501271167,-0.3390436,39.4837695
52888,462501271167,-0.3391015,39.4837629
52888,462501271167,-0.3392126,39.4837501
52888,462501271167,-0.3395305,39.4837136
52888,462501271167,-0.3396596,39.4836988
52888,462501271167,-0.3396657,39.4836859
52888,462501271167,-0.3396738,39.483669
52888,462501271167,-0.3396786,39.483659
52888,462501271167,-0.3397127,39.4835878
52888,462501271167,-0.3397499,39.4835102
52888,462501271167,-0.3397906,39.4834253
52888,462501271167,-0.3399204,39.4831544
52888,462501271167,-0.3399625,39.4830664
52888,462501271167,-0.3399768,39.4830367
52888,462501271167,-0.3399774,39.4830353
52888,462501271167,-0.3399831,39.4830234
52888,462501271167,-0.3399606,39.4830028
52888,462501271167,-0.3399404,39.4829807
52888,462501271167,-0.3399227,39.4829574
52888,462501271167,-0.3399181,39.4829504
52888,462501271167,-0.3399078,39.4829329
52888,462501271167,-0.3398957,39.4829075
52888,462501271167,-0.3398864,39.4828815
52888,462501271167,-0.3398802,39.4828548
52888,462501271167,-0.3398769,39.4828279
52888,462501271167,-0.3398767,39.4828009
52888,462501271167,-0.3398775,39.48279
52888,462501271167,-0.3398344,39.4827776
52888,462501271167,-0.3393666,39.4826429
52888,462501271167,-0.3391616,39.4825839
52888,462501271167,-0.3390212,39.4825434
52888,462501271167,-0.3389395,39.4825199
52888,462501271167,-0.3388776,39.4825021
52888,462501271167,-0.3388166,39.4824845
52888,462501271167,-0.3366733,39.4818674
52888,462501271167,-0.3367042,39.481896
52889,462501271168,-0.3402119,39.4787127
52889,462501271168,-0.3402172,39.4787016
52889,462501271168,-0.3401006,39.4786681
52889,462501271168,-0.3385437,39.4782201
52889,462501271168,-0.3354311,39.4773245
52889,462501271168,-0.3340189,39.476918
52889,462501271168,-0.3337139,39.4768303
52889,462501271168,-0.3336889,39.4768392
52889,462501271168,-0.3336459,39.4768556
52889,462501271168,-0.3335051,39.4769092
52889,462501271168,-0.333501,39.4769108
52889,462501271168,-0.3332763,39.4780824
52889,462501271168,-0.3331548,39.4787161
52889,462501271168,-0.3331412,39.4787872
52889,462501271168,-0.3330838,39.4790865
52889,462501271168,-0.3329509,39.479778
52889,462501271168,-0.3328004,39.4805612
52889,462501271168,-0.3350456,39.4812073
52889,462501271168,-0.3350853,39.4812187
52889,462501271168,-0.3352955,39.4812792
